Name,Author,Link,Publisher,Publishing/Release Date,Score /5,Status,Summary,Type
https://www.notion.so/7ac3c25e5ef44874aef1835aeb45c1ac?pvs=21,,,Bon Appetit,,,Ready to Start,,Podcast
"The contribution of neural networks and genetic algorithms to business decision support ",,https://www.emeraldinsight.com/doi/abs/10.1108/00251740410518534,Emerald Group,"August 1, 2004",⭐️⭐️⭐️⭐️,Finished,,Textbook
"A Tax That Could Fix Big Tech ",Paul Romer,https://www.nytimes.com/2019/05/06/opinion/tax-facebook-google.html,NYT,"August 6, 2019",,Ready to Start,Putting a levy on targeted ad revenue would give Facebook and Google a real incentive to change their dangerous business models.,Article
Jane Eyre and the Invention of Self,Karen Swallow Prior,https://www.theatlantic.com/entertainment/archive/2016/03/how-jane-eyre-created-the-modern-self/460461/,The Atlantic,"August 3, 2016",⭐️⭐️,Reading,,Textbook
"At Work, Everyone Is in Fact Talking About You All the Time",Megan Greenwell,https://www.nytimes.com/2019/05/31/business/at-work-everyone-is-in-fact-talking-about-you-all-the-time.html,NYT,"August 31, 2019",⭐️⭐️⭐️,Reading,How to cope with gossipy industries — and blackening bananas in the office kitchen.,Article
General Magic the Movie,,https://www.generalmagicthemovie.com/,Indie,,⭐️⭐️⭐️⭐️⭐️,Finished,,Film
The Brontës' Secret,Judith Shulevitz,https://www.theatlantic.com/magazine/archive/2016/06/the-brontes-secret/480726/,The Atlantic,"August 5, 2016",⭐️⭐️⭐️,Finished,,Textbook
You Are Not as Good at Kissing as You Think. But You Are Better at Dancing.,Spencer Greenberg,https://www.nytimes.com/2019/04/06/opinion/sunday/overconfidence-men-women.html,NYT,"August 6, 2019",⭐️⭐️⭐️⭐️,Finished,We overestimate and underestimate our abilities in weird ways.,Article
Chef's Table,,https://www.newyorker.com/culture/annals-of-gastronomy/in-praise-of-chefs-table-wild-overuse-of-slow-motion,Netflix,,⭐️⭐️⭐️⭐️⭐️,Watching,,TV Series
"Who Will Teach Silicon Valley to Be Ethical? ",Kara Swisher,https://www.nytimes.com/2018/10/21/opinion/who-will-teach-silicon-valley-to-be-ethical.html,NYT,"August 21, 2018",,Ready to Start,Some think chief ethics officers could help technology companies navigate political and social questions.,Article
Automatic Keyphrases Extraction from Document Using Neural Network | SpringerLink,,https://link.springer.com/chapter/10.1007/11739685_66,Springer,"August 18, 2005",⭐️⭐️⭐️,Ready to Start,,Academic Journal
The Joy of Standards,"Andrew Russell, Lee Vinsel",https://www.nytimes.com/2019/02/16/opinion/sunday/standardization.html,NYT,"August 16, 2019",⭐️⭐️⭐️⭐️⭐️,Finished,Life is a lot easier when you can plug in to any socket.,Article
