Type,Name,Status,Author,Publisher,Publishing/Release Date,Link,Summary
Article,The Joy of Standards,Finished,"Andrew Russell, Lee Vinsel",NYT,"August 16, 2019",https://www.nytimes.com/2019/02/16/opinion/sunday/standardization.html,Life is a lot easier when you can plug in to any socket.
Article,"Who Will Teach Silicon Valley to Be Ethical? ",Ready to Start,Kara Swisher,NYT,"August 21, 2018",https://www.nytimes.com/2018/10/21/opinion/who-will-teach-silicon-valley-to-be-ethical.html,Some think chief ethics officers could help technology companies navigate political and social questions.
Textbook,The Brontës' Secret,Finished,Judith Shulevitz,The Atlantic,"August 5, 2016",https://www.theatlantic.com/magazine/archive/2016/06/the-brontes-secret/480726/,
Article,"A Tax That Could Fix Big Tech ",Ready to Start,Paul Romer,NYT,"August 6, 2019",https://www.nytimes.com/2019/05/06/opinion/tax-facebook-google.html,Putting a levy on targeted ad revenue would give Facebook and Google a real incentive to change their dangerous business models.
Article,"At Work, Everyone Is in Fact Talking About You All the Time",Reading,Megan Greenwell,NYT,"August 31, 2019",https://www.nytimes.com/2019/05/31/business/at-work-everyone-is-in-fact-talking-about-you-all-the-time.html,How to cope with gossipy industries — and blackening bananas in the office kitchen.
Film,General Magic the Movie,Finished,,Indie,,https://www.generalmagicthemovie.com/,
Podcast,https://www.notion.so/7ac3c25e5ef44874aef1835aeb45c1ac?pvs=21,Ready to Start,,Bon Appetit,,,
Article,You Are Not as Good at Kissing as You Think. But You Are Better at Dancing.,Finished,Spencer Greenberg,NYT,"August 6, 2019",https://www.nytimes.com/2019/04/06/opinion/sunday/overconfidence-men-women.html,We overestimate and underestimate our abilities in weird ways.
TV Series,Chef's Table,Watching,,Netflix,,https://www.newyorker.com/culture/annals-of-gastronomy/in-praise-of-chefs-table-wild-overuse-of-slow-motion,
Textbook,Jane Eyre and the Invention of Self,Reading,Karen Swallow Prior,The Atlantic,"August 3, 2016",https://www.theatlantic.com/entertainment/archive/2016/03/how-jane-eyre-created-the-modern-self/460461/,
Textbook,"The contribution of neural networks and genetic algorithms to business decision support ",Finished,,Emerald Group,"August 1, 2004",https://www.emeraldinsight.com/doi/abs/10.1108/00251740410518534,
Academic Journal,Automatic Keyphrases Extraction from Document Using Neural Network | SpringerLink,Ready to Start,,Springer,"August 18, 2005",https://link.springer.com/chapter/10.1007/11739685_66,
