Name,Description
The Noun Project,Icons and Photos For Everything.
CSS.gg,Pure CSS elements
uicons,A growing set of beautiful icons for modern UI's.
ionicons,Open source icons. Lovingly hand-crafted.
Hola svg,Free Open SVG Icons.
Simple Icons,3161 Free SVG icons for popular brands.
Boxicons,Simple Open Source icons carefully crafted for designers & developers.
iconmonstr,Discover 4784+ free icons in 316 collections.
Free Icons,Free easily customizable Open-Source Icons.
SVGMIX,The largest and continuously growing collection of SVG brand logos and icons.
svgl,A beautiful library with SVG logos.
Radix UI Icons,A crisp set of 15×15 icons.
Doodlicons,Carelessly designed Doodle icons for your next project’s wireframe.
tabler icons,Free and open source icons designed to make your website or app attractive.
Lucide,Beautiful & consistent icons. Made by community.
Flowbite Icons,Free and open-source SVG icons.
MingCute,MingCute is a set of simple and exquisite open-source icon library.
IconPark,"Transform an SVG icon into multiple themes, and generate React icons"
Eva Icons,A pack of more than 480 beautifully crafted Open Source icons
SVG Repo,500.000+ Open-licensed SVG Vector and Icons.
Google Fonts Icons,Over 2500 icons which you can fully customize.
Hero Icons,"Beautiful hand-crafted SVG icons, by the makers of Tailwind CSS."
Streamline,The encyclopedia of icons.
blendicons,"Free, world top icons."
Feather Icons,Simply beautiful open source icons.
