Name,Description
Skill Share.,Become a pro with thousands of creative classes.
Geeks for geeks,Web Development course by Geeks for geeks
Khan Academy,"For every student, every classroom."
SQLZap,Learn SQL with us for Free.
Javatpoint,It is an independent online platform created for educational and informational purposes.
Scrimba,A place to level up your coding skills and build awesome projects.
Guru99,Guru99 is totally new kind of learning experience.
sololearn,Learning to code got simplified.
TypeHero,"Connect, collaborate, and grow with a community of TypeScript developers."
codementor,Find a developer for live mentorship & freelance projects.
freeCodeCamp,Learn to code — for free.
iCodeThis,Projects you can build to improve your coding skills!
javascript.info,The Modern JavaScript Tutorial.
Frontend Mentor,Improve your coding skills by building realistic projects.
CSSBattle,The funnest multiplayer game with 300K+ web designers & developers.
coursera,Learn without limits.
codecademy,INTERACTIVE COURSES.
edx,Bring your goals into focus.
Developer Roadmaps,"Community effort to create roadmaps, guides and other educational content"
JavaScript30,Build 30 things in 30 days with 30 tutorials.
Udemy,Jump into learning for less.
The Odin Project,Full stack curriculum is free and supported by a passionate open source community.
web.dev,"Builting a better web, together."
PlayCSS,Level up your CSS skills by taking amazing daily challenges.
