Name,Description
developedbyed,"Your go-to channel for learning how to code, design, and become more creative in the tech world!."
Matt Pocock,"Become a TypeScript wizard with tips, tricks and tutorials."
Web Dev Simplified,Teaching web development skills and techniques in an efficient and practical manner.
Florin Pop,"Learn about web development (HTML, CSS, JavaScript, ReactJS) by building fun stuff!"
CodeWithHarry,Teaches basics and those coding techniques to people in short time which took him ages to learn
Mehul - Codedamn,"Videos mostly related to programming, and sometimes simple hacks and tricks."
JavaScript Mastery,Master modern web development with a project-based approach.
Francesco Ciulla,"Creates videos of him building projects and tutorials with MANY different languages and technologies and Docker. "
Clever Programmer,You can find awesome programming lessons here.
ByteGrad,Note that his videos may contain mistakes.
Coding in Public,Mostly teaches beginner to intermediate web dev on the channel through project and component builds.
Web Dev Cody,"This channel is a collection of various programming videos, tutorials, projects, talks, or anything software engineering and programming related."
Code With Antonio,A software engineer with over 7 years of experience.
Marc Lou,Was fired everywhere so he built 24 startups.
Programming with Mosh,"Clear, concise, practical coding tutorials – no fluff, just the good stuff!"
Sonny Sangha,You might also know him as PAPA React!
Traversy Media,The best online web development and programming tutorials.
Josh tried coding,His goal is to have fun creating stuff and sharing that here on youtube.
Theo - t3.gg,A software dev nerd mostly known for full stack TypeScript stuff.
Web Prodigies,Giving you free web development tips and tricks everyday!
freeCodeCamp,Learn to code for free.
Fireship,High-intensity ⚡ code tutorials and tech news.
