Name,Description
ffonts,Download free fonts.
Fontjoy,Font pairing made simple.
Fontesk,"A curated, legit font library of the best and newest high-quality fonts."
urbanfonts,"An amazing collection of free fonts, premium fonts and free dingbats."
Collletttivo,Collletttivo is an Open-Source type foundry and a network of people.
Type Specimens,"Research & design project, a publication, and a community resource."
fontpair,Free fonts and font pairings to use for your next design project.
Google Fonts,Fronts by Google Fonts.
typespiration,Free Font Combinations and Color Palettes to Inspire Your Designs.
bunny.net,1692 font families.
dafont,Huge collection of free fonts nicely organized and always up to date.
Fonts in use,An independent archive of typography.
Free Faces,This website is a curated collection of typefaces.
fonts in the wild.,fonts in the wild.
1001fonts,New & Fresh Fonts.
fontfabric,A digital type foundry crafting retail fonts and custom typography.
Typographica,"Type Reviews, Books, Commentary."
fontspace,Free downloads of legally licensed fonts that are perfect for your design projects.
Font squirrel,Free Font Utopia.
All Free Fonts,"15,000 Free Downloadable Fonts."
inspotype,Realtime generation of fonts.
Typewolf,What’s trending in type.
Modern Font Stacks,System font stack CSS organized by typeface classification for every modern OS.
Font Brief,Exceptional fonts served by personality.
